PM 10,PM 2.5
28.02,7.47
37.0,9.0
43.53,8.88
27.92,8.57
40.95,9.75
35.63,8.75
39.55,9.2
30.85,8.82
41.8,8.85
29.87,8.02
29.4,8.6
47.95,9.63
43.17,9.13
35.08,8.45
27.08,7.72
23.42,7.75
31.62,7.75
37.78,8.3
31.65,8.4
31.48,7.85
34.8,7.93
35.65,7.4
34.17,7.72
35.33,7.73
32.95,7.87
41.15,6.87
28.58,7.62
28.45,7.35
31.05,7.25
25.9,8.23
32.5,7.62
23.87,6.6
29.95,7.82
44.08,7.87
24.2,7.28
27.52,7.7
285.23,33.63
29.67,9.38
32.45,9.55
31.65,8.02
38.88,9.05
32.78,8.43
35.67,11.23
43.38,13.95
28.05,10.27
38.95,12.07
33.08,13.3
33.55,9.43
29.35,8.52
35.45,9.7
31.43,9.4
37.35,9.95
44.85,10.27
36.1,9.75
34.55,8.38
32.1,9.4
34.7,10.2
40.45,9.9
36.13,9.32
36.58,9.38
39.0,11.7
43.22,9.8
36.47,9.5
34.74,9.46
